menu_id,food_id,mark
619428,0,4
619428,91,8
542581,88,8
542581,7,8
542581,65,6
542581,61,10
814186,31,4
814186,13,3
814186,75,6
814186,36,8
984132,41,7
984132,4,5
984132,30,7
984132,58,6
859043,50,9
859043,91,5
859043,106,3
859043,28,8
374712,31,10
374712,72,3
374712,106,8
134439,61,8
134439,64,10
112702,4,7
112702,21,7
440018,22,10
440018,16,3
440018,86,5
615127,40,4
615127,58,6
615127,2,9
615127,95,5
923635,23,7
923635,6,4
693385,22,5
693385,37,3
693385,20,10
985773,89,9
985773,19,8
985773,108,4
985773,54,9
467542,86,6
467542,34,9
467542,80,9
930063,61,10
930063,15,8
930063,96,5
930063,72,9
525450,41,5
525450,4,3
525450,15,5
525450,45,8
966337,41,3
966337,90,6
729707,52,4
729707,36,7
729707,34,3
323308,51,9
323308,48,9
921024,79,6
921024,43,3
741915,82,10
741915,36,7
635685,74,7
635685,29,9
635685,71,3
635685,52,4
805723,19,8
805723,68,5
805723,79,3
805723,28,9
159099,66,6
159099,60,4
942545,58,6
942545,29,5
942545,60,3
942545,40,6
952634,70,5
952634,14,7
959803,49,3
959803,47,3
553695,99,3
553695,81,6
553695,108,9
667763,65,10
667763,44,4
297911,17,3
297911,65,9
297911,28,8
297911,46,3
667817,21,4
667817,72,10
402978,1,7
402978,24,9
868826,99,8
868826,61,4
868826,95,7
868826,23,4
276650,90,9
276650,93,6
276650,42,10
404238,20,3
404238,61,3
542897,90,5
542897,101,10
542897,62,5
454932,77,4
454932,95,4
467301,51,8
467301,36,7
223039,20,6
223039,59,6
223039,35,9
485832,108,7
485832,30,3
485832,97,4
485832,83,5
423016,69,4
423016,44,8
423016,78,8
825043,45,5
825043,29,4
825043,34,7
681816,6,5
681816,107,8
681816,44,8
504242,90,10
504242,49,4
504242,106,4
504242,82,5
845533,73,3
845533,102,4
697446,2,8
697446,105,6
697446,96,4
958954,82,3
958954,95,9
958954,18,4
989672,66,3
989672,55,10
989672,103,5
673515,43,3
673515,7,3
673515,95,7
996724,27,5
996724,44,10
996724,71,7
996724,41,7
621585,47,7
621585,89,7
268072,16,8
268072,36,5
268072,60,7
301626,82,8
301626,25,8
397611,43,5
397611,40,5
397611,30,5
397611,20,3
362108,16,5
362108,25,4
362108,7,9
362108,27,6
695436,28,6
695436,71,4
695436,104,8
613112,83,3
613112,44,9
725499,51,10
725499,62,4
224377,98,3
224377,26,7
224377,30,8
224377,39,7
732396,80,6
732396,100,5
732396,18,6
732396,59,4
481508,58,5
481508,13,9
481508,51,3
481508,86,6
929722,96,10
929722,11,10
929722,53,10
929722,5,4
649083,42,10
649083,79,6
649083,88,6
649083,63,6
863151,53,10
863151,52,3
863151,94,4
900547,7,5
900547,97,3
900547,81,6
900547,104,8
639365,91,3
639365,84,9
639365,81,6
928922,88,10
928922,19,6
928922,23,4
928922,8,10
727663,93,6
727663,105,10
308692,96,4
308692,49,9
308692,100,4
495240,102,7
495240,94,9
495240,64,4
495240,109,9
527274,63,10
527274,95,6
527274,72,10
527274,6,5
216075,51,4
216075,4,4
216075,0,5
536517,24,8
536517,54,9
787487,10,6
787487,69,6
833796,93,8
833796,42,9
933973,85,4
