order_id,user_id,menu_id,total_money,time
658559,421804,619428,2.0,2022-06-01 09:40:00
448322,983181,542581,13.2,2022-06-01 07:25:00
736622,680139,814186,9.5,2022-06-01 08:54:00
279193,418920,984132,13.0,2022-06-01 09:57:00
442694,211195,859043,10.5,2022-06-01 09:01:00
779682,946327,374712,11.0,2022-06-01 09:13:00
714102,853064,134439,11.0,2022-06-01 09:22:00
804912,146557,112702,7.0,2022-06-01 08:34:00
836380,453673,440018,10.5,2022-06-01 08:29:00
548833,289940,615127,11.0,2022-06-01 09:33:00
680034,733451,923635,1.45,2022-06-01 07:52:00
977360,857948,693385,8.5,2022-06-01 06:49:00
918970,969107,985773,19.0,2022-06-01 06:13:00
571342,808118,467542,17.0,2022-06-01 09:53:00
443237,399620,930063,9.0,2022-06-01 06:02:00
585297,360777,525450,9.5,2022-06-01 06:00:00
359834,766000,966337,6.0,2022-06-01 06:41:00
936333,231994,729707,7.0,2022-06-01 07:27:00
626318,367379,323308,2.0,2022-06-01 06:23:00
279803,114014,921024,11.0,2022-06-01 07:02:00
570521,535026,741915,9.0,2022-06-01 06:29:00
213942,981242,635685,5.5,2022-06-01 09:02:00
259505,110648,805723,13.2,2022-06-01 09:55:00
858879,603588,159099,7.0,2022-06-01 08:38:00
893909,119066,942545,16.5,2022-06-01 06:57:00
486195,136302,952634,4.5,2022-06-01 07:17:00
960810,925704,959803,4.5,2022-06-01 07:22:00
211225,364710,553695,19.0,2022-06-01 09:36:00
998226,115756,667763,8.0,2022-06-01 08:36:00
278070,280784,297911,13.5,2022-06-01 07:24:00
820868,181402,667817,6.0,2022-06-01 06:52:00
953691,874059,402978,4.5,2022-06-01 08:38:00
596551,756813,868826,11.95,2022-06-01 08:14:00
766675,816589,276650,12.0,2022-06-01 08:23:00
309223,472734,404238,10.0,2022-06-01 07:34:00
358410,857688,542897,14.0,2022-06-01 07:42:00
843589,967788,454932,7.5,2022-06-01 08:50:00
536065,853855,467301,4.0,2022-06-01 08:03:00
509733,646799,223039,14.0,2022-06-01 06:00:00
249341,481153,485832,17.5,2022-06-01 09:09:00
234949,160432,423016,10.0,2022-06-01 06:40:00
722571,600118,825043,6.0,2022-06-01 06:57:00
392304,583564,681816,10.0,2022-06-01 06:57:00
429448,430956,504242,17.0,2022-06-01 06:06:00
174833,417209,845533,8.0,2022-06-01 08:59:00
180703,753350,697446,8.5,2022-06-01 06:51:00
772134,210546,958954,11.5,2022-06-01 06:48:00
463465,261512,989672,13.0,2022-06-01 07:54:00
538864,664588,673515,7.0,2022-06-01 09:23:00
830546,863440,996724,8.5,2022-06-01 07:00:00
772980,684598,621585,4.5,2022-06-01 09:35:00
953610,697101,268072,11.0,2022-06-01 09:20:00
526165,391888,301626,7.5,2022-06-01 07:06:00
439347,531804,397611,14.5,2022-06-01 09:19:00
331604,413691,362108,7.0,2022-06-01 07:26:00
976880,291666,695436,9.5,2022-06-01 06:17:00
952516,246630,613112,10.0,2022-06-01 07:15:00
958380,907308,725499,6.0,2022-06-01 07:43:00
638230,890212,224377,7.5,2022-06-01 09:02:00
326218,134575,732396,24.0,2022-06-01 09:16:00
526170,791174,481508,16.0,2022-06-01 06:07:00
180795,616519,929722,8.0,2022-06-01 09:28:00
218549,971730,649083,17.7,2022-06-01 08:39:00
829056,593070,863151,6.0,2022-06-01 08:05:00
499986,760428,900547,16.0,2022-06-01 07:30:00
722986,180326,639365,13.5,2022-06-01 06:30:00
423612,232280,928922,7.15,2022-06-01 08:15:00
949134,984904,727663,12.0,2022-06-01 06:49:00
357687,452144,308692,8.5,2022-06-01 07:05:00
745625,130890,495240,20.5,2022-06-01 08:36:00
193606,648314,527274,8.5,2022-06-01 06:19:00
822747,231590,216075,3.5,2022-06-01 08:23:00
368649,320897,536517,6.5,2022-06-01 08:40:00
733113,427932,787487,3.5,2022-06-01 07:09:00
679572,583449,833796,10.0,2022-06-01 09:43:00
851141,174713,933973,14.0,2022-06-01 08:22:00
694294,292221,691822,8.0,2022-06-01 08:17:00
301668,578819,375013,8.0,2022-06-01 07:12:00
456987,571112,257303,5.5,2022-06-01 09:49:00
701472,290514,558798,9.5,2022-06-01 09:04:00
938039,494359,449515,6.0,2022-06-01 07:25:00
106042,316527,403535,12.0,2022-06-01 08:38:00
244472,368730,142229,12.0,2022-06-01 07:15:00
446395,378614,928123,10.5,2022-06-01 06:51:00
279210,136344,960069,19.0,2022-06-01 06:21:00
603483,269837,342222,18.0,2022-06-01 08:24:00
719829,952832,752989,10.5,2022-06-01 08:16:00
390498,513440,598194,11.0,2022-06-01 06:44:00
453536,556829,360333,8.0,2022-06-01 06:50:00
208352,901166,574995,10.5,2022-06-01 09:47:00
900773,252285,335127,14.0,2022-06-01 06:04:00
890432,538139,973599,17.5,2022-06-01 06:37:00
644674,943971,604981,8.5,2022-06-01 06:23:00
886784,956509,348922,20.0,2022-06-01 06:51:00
308635,377970,245038,10.0,2022-06-01 06:08:00
329336,586964,810137,20.0,2022-06-01 07:53:00
685159,851159,525645,8.0,2022-06-01 06:13:00
503829,446152,747474,4.0,2022-06-01 07:19:00
505125,585102,810734,9.0,2022-06-01 08:16:00
944957,951929,703621,26.0,2022-06-01 06:43:00
147794,344168,912872,10.0,2022-06-01 07:05:00
780389,641718,417526,5.95,2022-06-01 09:58:00
705156,893809,324718,7.2,2022-06-01 09:01:00
730659,432033,885992,9.2,2022-06-01 07:44:00
837619,597377,734945,18.5,2022-06-01 07:10:00
146973,758053,222814,10.0,2022-06-01 07:01:00
833783,255405,773022,9.0,2022-06-01 06:25:00
603635,364747,776950,15.0,2022-06-01 07:37:00
349912,942087,976079,14.0,2022-06-01 07:16:00
588520,707685,535683,3.5,2022-06-01 09:01:00
933319,755248,521034,3.0,2022-06-01 07:08:00
705659,317288,187396,10.45,2022-06-01 06:20:00
715948,674140,535936,13.0,2022-06-01 09:20:00
605062,630875,962929,10.5,2022-06-01 09:16:00
585299,588886,677852,9.5,2022-06-01 06:52:00
644462,620146,892867,3.5,2022-06-01 08:46:00
179084,582675,436235,3.5,2022-06-01 06:04:00
692608,641369,518551,7.0,2022-06-01 09:05:00
689275,980168,871295,10.0,2022-06-01 07:59:00
508509,305418,881909,14.0,2022-06-01 09:04:00
330636,348107,701544,11.0,2022-06-01 08:28:00
919186,423306,390106,1.45,2022-06-01 06:32:00
616948,526480,132702,15.0,2022-06-01 06:21:00
694254,964449,990778,9.5,2022-06-01 09:34:00
460449,498041,995274,5.5,2022-06-01 08:04:00
995463,300751,777837,14.2,2022-06-01 08:27:00
275165,562766,628176,4.0,2022-06-01 09:31:00
268199,813911,247382,7.0,2022-06-01 06:21:00
984857,562745,932093,11.0,2022-06-01 08:55:00
867371,997506,444110,15.0,2022-06-01 09:14:00
297099,796532,138591,9.0,2022-06-01 08:33:00
166665,209660,689189,11.0,2022-06-01 07:38:00
228720,822499,433475,10.0,2022-06-01 07:03:00
762177,831038,633319,5.0,2022-06-01 06:48:00
124091,457877,292148,6.0,2022-06-01 07:20:00
401980,754730,582133,5.5,2022-06-01 06:15:00
226205,425908,231867,20.0,2022-06-01 06:32:00
730351,998007,551714,6.0,2022-06-01 08:05:00
628259,908903,535182,9.2,2022-06-01 08:42:00
683338,967509,490786,10.0,2022-06-01 07:29:00
447246,675112,934857,4.0,2022-06-01 06:40:00
401542,814885,747072,1.95,2022-06-01 07:09:00
986421,456873,413820,10.2,2022-06-01 06:30:00
962219,625134,514099,14.0,2022-06-01 07:17:00
465042,634472,900471,20.0,2022-06-01 06:08:00
491606,514650,794909,5.0,2022-06-01 08:41:00
985196,783036,439293,18.0,2022-06-01 08:09:00
878797,561948,437746,4.0,2022-06-01 09:52:00
574621,436015,960893,25.0,2022-06-01 09:28:00
779845,688305,978012,11.0,2022-06-01 09:48:00
940043,988118,742591,10.0,2022-06-01 06:45:00
707269,682950,187482,10.0,2022-06-01 08:28:00
642091,900774,618374,3.5,2022-06-01 07:54:00
427813,702521,683942,8.5,2022-06-01 09:00:00
785602,904855,951072,14.5,2022-06-01 08:28:00
992294,432926,398840,6.5,2022-06-01 09:40:00
880959,738384,939072,10.95,2022-06-01 07:39:00
859730,207543,757882,16.0,2022-06-01 06:04:00
778447,490273,202366,12.0,2022-06-01 08:42:00
801073,898490,587731,13.5,2022-06-01 07:50:00
818972,491404,993258,7.5,2022-06-01 06:12:00
492158,444570,834084,15.0,2022-06-01 07:51:00
292298,719646,103243,20.5,2022-06-01 08:02:00
541187,973503,475517,10.0,2022-06-01 06:06:00
255087,141935,659906,4.0,2022-06-01 08:23:00
217165,318362,720929,10.0,2022-06-01 06:14:00
886340,243708,246643,9.0,2022-06-01 06:54:00
485247,908943,178622,3.5,2022-06-01 09:21:00
731664,299385,666857,10.7,2022-06-01 06:07:00
539049,347406,961398,12.5,2022-06-01 08:25:00
184230,387654,913414,8.0,2022-06-01 07:07:00
215388,466806,309004,11.7,2022-06-01 06:57:00
418843,763831,275517,2.0,2022-06-01 06:43:00
